Date,Region,Sales_Rep,Product,Category,Quantity,Unit_Price,Discount,Revenue,Returned,Channel
2023-01-01,North,Bob Smith,Accessory Pack,Accessories,1,49.99,0.1,44.99,No,Retail
2023-01-01,North,Bob Smith,CoreLink 200,Hardware,20,149.99,0,2999.8,No,Retail
2023-01-02,South,Emma Brown,Starter Bundle,Bundle,3,89.99,0.15,229.47,No,Direct
2023-01-03,East,Grace Kim,DataKit Pro,Software,18,199.99,0,3599.82,No,Online
2023-01-05,North,Carol White,DataKit Pro,Software,12,199.99,0,2399.88,No,Direct
2023-01-05,North,Carol White,Starter Bundle,Bundle,19,89.99,0.05,1624.32,No,Online
2023-01-05,North,Alice Johnson,Accessory Pack,Accessories,16,49.99,0,799.84,No,Online
2023-01-06,West,Jack Taylor,ProSuite X1,Software,16,299.99,0.15,4079.86,No,Online
2023-01-06,East,Isla Moore,DataKit Pro,Software,7,199.99,0.15,1189.94,No,Retail
2023-01-06,East,Henry Lopez,ProSuite X1,Software,12,299.99,0,3599.88,No,Online
2023-01-07,West,Karen Hall,Accessory Pack,Accessories,13,49.99,0,649.87,No,Retail
2023-01-07,East,Grace Kim,DataKit Pro,Software,11,199.99,0,2199.89,No,Direct
2023-01-07,South,Emma Brown,CoreLink 200,Hardware,10,149.99,0.1,1349.91,No,Retail
2023-01-07,North,Bob Smith,ProSuite X1,Software,7,299.99,0,2099.93,No,Online
2023-01-08,East,Isla Moore,Accessory Pack,Accessories,20,49.99,0,999.8,No,Online
2023-01-08,West,Liam Clark,Accessory Pack,Accessories,12,49.99,0,599.88,No,Direct
2023-01-08,South,Frank Davis,CoreLink 200,Hardware,8,149.99,0.05,1139.92,No,Retail
2023-01-08,North,Carol White,Starter Bundle,Bundle,17,89.99,0.05,1453.34,No,Online
2023-01-09,South,David Lee,DataKit Pro,Software,1,199.99,0.05,189.99,No,Retail
2023-01-09,West,Karen Hall,CoreLink 200,Hardware,3,149.99,0,449.97,No,Online
2023-01-09,South,David Lee,DataKit Pro,Software,17,199.99,0.1,3059.85,No,Retail
2023-01-09,East,Henry Lopez,CoreLink 200,Hardware,13,149.99,0.05,1852.38,No,Direct
2023-01-10,South,Frank Davis,DataKit Pro,Software,11,199.99,0,2199.89,No,Direct
2023-01-11,North,Alice Johnson,Accessory Pack,Accessories,7,49.99,0.1,314.94,No,Online
2023-01-11,West,Jack Taylor,CoreLink 200,Hardware,13,149.99,0.15,1657.39,No,Retail
2023-01-11,West,Karen Hall,Starter Bundle,Bundle,14,89.99,0.1,1133.87,No,Retail
2023-01-11,South,Emma Brown,Accessory Pack,Accessories,19,49.99,0,949.81,No,Online
2023-01-12,North,Carol White,Accessory Pack,Accessories,9,49.99,0.15,382.42,No,Retail
2023-01-12,South,Emma Brown,CoreLink 200,Hardware,17,149.99,0.1,2294.85,No,Direct
2023-01-12,North,Carol White,CoreLink 200,Hardware,17,149.99,0,2549.83,No,Direct
2023-01-13,West,Karen Hall,ProSuite X1,Software,14,299.99,0,4199.86,No,Retail
